time,service_avg_cpu_usage_percentage,service_avg_memory_usage_percentage,service_avg_network_receive_bytes,service_avg_network_transmit_bytes,nginx_avg_respone_time,nginx_requests_per_second,nginx_received_http_traffic,nginx_sent_http_traffic
2023-06-13T06:00:00,3.9701300383135756,18.640625,7273.845077342731,192305.5628589598,0.016215902322837324,937,157034.16177299418,12139894.187589766
2023-06-13T06:00:05,4.007566339563648,18.640625,7380.789975747795,194865.58275180537,0.016215902322837324,937,157034.16177299418,12139894.187589766
2023-06-13T06:00:10,4.0623071434877405,18.740234375,7428.082617370627,195663.27970628435,0.018455934195090035,960,160879.09090909088,12386319.999999998
2023-06-13T06:00:15,4.0623071434877405,18.740234375,7428.082617370627,195663.27970628435,0.018390734265759493,973,162737.25547232927,12502290.742491456
2023-06-13T06:00:20,4.196122853519981,18.62109375,7647.1005058518795,200514.41949089334,0.018390734265759493,973,162737.25547232927,12502290.742491456
2023-06-13T06:00:25,4.225853508065399,18.638671875,7731.9536526426655,202088.57081878954,0.018426453819863794,1010,168717.27272727268,13048387.272727273
2023-06-13T06:00:30,4.225853508065399,18.638671875,7731.9536526426655,202088.57081878954,0.018572236358517645,1022,170733.63636363635,13184841.818181818
2023-06-13T06:00:35,4.299484983170329,18.607421875,7902.584225920808,205256.96183779425,0.018572236358517645,1022,170733.63636363635,13184841.818181818
2023-06-13T06:00:40,4.28640097879329,18.625,7882.127638872434,204649.9510050952,0.018343949044606327,1067,178552.72727272726,13845695.454545455
2023-06-13T06:00:45,4.28640097879329,18.625,7882.127638872434,204649.9510050952,0.018800109679207845,1076,179987.27272727274,13981219.999999998
2023-06-13T06:00:50,4.40576310327858,18.681640625,8142.856651332746,210333.30466107678,0.018800109679207845,1076,179987.27272727274,13981219.999999998
2023-06-13T06:00:55,4.433777866278196,18.697265625,8240.249028526468,211781.56512496294,0.01854807433344115,1088,181742.64050766407,14020194.737894796
2023-06-13T06:01:00,4.433777866278196,18.697265625,8240.249028526468,211781.56512496294,0.018509159482776056,1080,180436.36363636362,13819461.818181816
2023-06-13T06:01:05,4.426639200772186,18.693359375,8243.253128333645,210720.84934893408,0.018509159482776056,1080,180436.36363636362,13819461.818181816
2023-06-13T06:01:11,4.455138761205177,18.68359375,8257.427822233665,210386.8396267964,0.01896443965518907,1035,173835.3698450796,12900625.500036366
2023-06-13T06:01:16,4.448067601525793,18.68359375,8245.027326915204,209148.0296761012,0.018768112038799228,1011,170081.81818181815,12560021.818181816
2023-06-13T06:01:21,4.437399341252601,18.603515625,8247.400090551846,208807.86764223033,0.0186303763441026,977,165008.18181818182,11898066.363636361
2023-06-13T06:01:26,4.391295692015793,18.6875,8164.309539901097,206308.12760751063,0.01860504427154906,952,160673.63636363635,11590535.454545453
2023-06-13T06:01:31,4.458404193869887,18.689453125,8312.95787231118,209976.6304721325,0.018515741728938637,924,155593.63636363638,11172675.454545453
2023-06-13T06:01:36,4.417776859750658,18.634765625,8254.440193926686,207983.12301093206,0.018546737683105937,885,149200.90909090912,10675624.545454545
2023-06-13T06:01:41,4.495334984700526,18.666015625,8388.819138572155,211210.19429465284,0.01833165696137232,861,144729.0909090909,10346399.09090909
2023-06-13T06:01:46,4.5273820230771955,18.65234375,8456.942804466265,212532.6925334383,0.018335789473700587,825,138421.54064323762,9977619.402578041
2023-06-13T06:01:51,4.52370891061218,18.677734375,8459.406343872512,212237.72720329923,0.018285302593676285,816,137270,9834860
2023-06-13T06:01:56,4.538771024853115,18.662109375,8517.388950386747,213298.17265150024,0.0181686684073268,805,135462.72727272726,9704304.545454547
2023-06-13T06:02:01,4.479235942431585,18.60546875,8413.175237628138,210425.93265859794,0.018166839916855443,808,135760,9809345.454545455
2023-06-13T06:02:06,4.547364814733043,18.677734375,8556.737889658123,213989.07378421232,0.018250517063096997,807,135840,9904539.090909092
2023-06-13T06:02:11,4.6151128932334915,18.6953125,8654.471404648855,215879.1270131141,0.018544801026973336,809,136693.63636363638,9903430.90909091
2023-06-13T06:02:16,4.655115761648192,18.662109375,8715.378998704984,217386.41749097622,0.01850127616132282,806,135602.72727272726,9975631.818181818
2023-06-13T06:02:21,4.682414084939126,18.693359375,8778.854838153677,219146.99231273052,0.018437404967070956,799,134038.1818181818,9908490
2023-06-13T06:02:26,4.708329011598444,18.732421875,8855.493821412436,220690.99474742456,0.018432764676381823,802,134504.54545454544,9980935.454545455
2023-06-13T06:02:31,4.699476437083267,18.720703125,8849.324055999248,220462.0674837531,0.018331506849330045,811,135436.36363636362,10139337.272727273
2023-06-13T06:02:36,4.752435566332781,18.666015625,8942.186539513054,222800.31380859716,0.018409417596049502,793,132645.45454545456,9912276.363636363
2023-06-13T06:02:41,4.816328697551204,18.716796875,9041.793454635783,224256.9293506386,0.018390790445717682,795,132947.2516682728,9957781.333527284
2023-06-13T06:02:46,4.810679702093402,18.6953125,9029.145851433535,223959.38993266723,0.018371463414648032,806,135181.81818181818,10021858.181818184
2023-06-13T06:02:51,4.8588429883388375,18.6875,9112.006706216147,225500.27490056067,0.0183086598935801,820,137752.72727272726,10194730.90909091
2023-06-13T06:02:56,4.891819454639729,18.734375,9174.195363149887,226476.71238447697,0.018115052732516627,833,139928.00523598286,10372180.205075992
2023-06-13T06:03:01,4.95637218440121,18.689453125,9329.053851015988,229320.38090501205,0.01821762889048768,850,141984.54545454544,10676522.727272727
2023-06-13T06:03:06,4.910537010537574,18.658203125,9231.56249272055,226875.4937316299,0.018527186761244017,850,141921.81818181818,10611448.181818182
