time,service_avg_cpu_usage_percentage,service_avg_memory_usage_percentage,service_avg_network_receive_bytes,service_avg_network_transmit_bytes,nginx_avg_respone_time,nginx_requests_per_second,nginx_received_http_traffic,nginx_sent_http_traffic
2023-06-15T13:00:01,3.7732495345667605,18,7504.2596624931975,38153.66766467066,0.01093360208675823,1045,173825.45454545453,1375156.3636363638
2023-06-15T13:00:06,3.809680197443463,18.521484375,7563.400873841281,38091.208452772975,0.011126315789442207,1060,177075.3790771245,1317895.712883168
2023-06-15T13:00:11,3.852395153020223,18.560546875,7625.667217600996,37924.48586988917,0.011139702463936158,1064,178111.81818181815,1247354.5454545452
2023-06-15T13:00:16,3.8635154344800875,18.568359375,7622.7922166314875,37127.220834096785,0.011154926335139962,1079,180442.72727272726,1182494.5454545456
2023-06-15T13:00:21,3.9273430699224017,18.537109375,7737.938600203833,37223.489298883,0.011303155006823997,1079,179762.72727272726,1093368.1818181819
2023-06-15T13:00:26,3.956541361147963,18.5859375,7836.302717470716,36938.61309428744,0.011309814563513347,1096,182093.63636363635,979654.5454545454
2023-06-15T13:00:31,3.976289689212735,19.3828125,7893.27477966308,36418.95624364006,0.011481539494261804,1126,186994.54545454547,896099.0909090908
2023-06-15T13:00:36,4.011601110640196,18.53515625,7966.074302461503,36117.8065018889,0.011487253380595593,1149,190742.7272727273,804076.3636363635
2023-06-15T13:00:41,4.047116134086831,18.54296875,8047.432603287245,35781.808665388744,0.011461453986353983,1171,194823.63636363635,710583.6363636362
2023-06-15T13:00:46,4.073975733584705,18.564453125,8119.123503268684,35459.47103034915,0.011442102976293243,1190,197798.1818181818,619530
2023-06-15T13:00:51,4.116957309800476,18.58203125,8200.195050342696,35198.41105330583,0.011398664656443994,1217,203177.2727272727,532958.181818182
2023-06-15T13:00:56,4.14278047013137,18.544921875,8291.41904894431,34779.59958050645,0.01112954253951937,1222,203450,436693.63636363635
2023-06-15T13:01:01,4.148009533575727,18.57421875,8332.72442677333,34217.34229263506,0.011297084486032517,1216,202244.62707734824,337027.710098549
