time,service_avg_cpu_usage_percentage,service_avg_memory_usage_percentage,service_avg_network_receive_bytes,service_avg_network_transmit_bytes,nginx_avg_respone_time,nginx_requests_per_second,nginx_received_http_traffic,nginx_sent_http_traffic
2023-06-15T05:00:01,5.332749740265492,18.798828125,9293.109683350289,255548.63981560033,0.020523292300280608,855,144706.36363636362,11771018.181818182
2023-06-15T05:00:06,5.277019737609878,18.01953125,9196.368214581438,252563.02175949176,0.020249025341144644,814,137385.94641753612,11274607.40121415
2023-06-15T05:00:11,5.1244639570953545,17.80859375,8932.591666642513,244648.03857987732,0.02082323978337213,779,131057.27272727272,10968860.909090906
2023-06-15T05:00:16,5.189858369292987,17.943359375,9005.747869646892,246911.72987394844,0.020669818362790644,751,126521.87352267353,10527405.542019708
2023-06-15T05:00:21,5.146107914220355,18.0234375,8904.05825288774,243413.33392065112,0.020325933400619473,711,119899.09090909091,9968897.272727272
2023-06-15T05:00:26,5.063666274297838,18.0703125,8718.511143606816,238064.19630171225,0.01999974418011131,674,113515.45454545453,9577147.272727272
2023-06-15T05:00:31,5.045985906049269,18.017578125,8684.00841429887,236832.0402635755,0.019586304909575053,648,109593.63636363635,9106298.181818182
2023-06-15T05:00:36,4.972867241536809,18.033203125,8584.482228580888,234181.7377174342,0.019503522045410455,636,107098.18181818182,9083207.272727272
2023-06-15T05:00:41,4.91526667838719,17.638671875,8486.284904773658,231120.05991162022,0.01959421052633113,600,100572.72727272728,8568998.181818182
2023-06-15T05:00:46,4.8851959996325505,18.09765625,8423.633525268433,228569.17315992285,0.019547796070116287,576,96353.63636363637,8216654.545454544
2023-06-15T05:00:52,4.8561511056706586,18,8375.904462976694,227262.31373226206,0.019670487869916296,580,97104.54545454544,8301648.18181818
2023-06-15T05:00:57,4.840278315623095,18.01953125,8340.480776717435,226195.70611752998,0.01964760886990448,579,96772.72727272726,8314870.909090907
2023-06-15T05:01:02,4.831474205989596,18.0546875,8337.56737770693,226219.3338556935,0.019745454545469127,583,97500.0909388527,8342628.496598886
2023-06-15T05:01:07,4.817586712762238,18.03125,8320.69474516215,225088.78537819494,0.019547109207723574,580,97459.99999999999,8093038.181818181
2023-06-15T05:01:12,4.817009203386169,18.044921875,8313.147791404384,224813.14439982633,0.01958632707776293,573,96273.63636363637,7951437.272727272
2023-06-15T05:01:17,4.835390832942897,18.03515625,8326.15173668384,225320.6094175304,0.019861967301006447,573,96603.63636363635,7919385.454545454
2023-06-15T05:01:22,4.8168420430535885,17.93359375,8298.695404790291,224281.8867183267,0.019893760086082377,569,96280,7836757.2727272725
2023-06-15T05:01:27,4.80764991657236,18.052734375,8286.414388070412,223080.2627704617,0.019885413858197785,564,94939.2749354569,7878952.583542415
2023-06-15T05:01:32,4.779432307787254,18.072265625,8260.283812253623,221968.4156622572,0.019833828694962356,566,95797.27272727274,7782952.727272728
2023-06-15T05:01:37,4.728603866814887,18.083984375,8140.80893147625,218756.27203863216,0.019697289972914762,584,98542.72727272725,8243898.181818182
2023-06-15T05:01:42,4.766889723989842,18.046875,8214.977485890478,221154.81082035575,0.019745252306038196,599,101849.99999999999,8335743.636363636
2023-06-15T05:01:47,4.770015449629679,18.048828125,8228.996660620753,221474.62919329415,0.019670466883837216,598,101604.54545454546,8395956.363636363
2023-06-15T05:01:52,4.720349301080637,18.083984375,8134.967972694156,218824.9797501119,0.019664945652189167,589,100129.09090909091,8363334.545454546
2023-06-15T05:01:57,4.763981626039901,18.083984375,8206.337278689973,220948.49048456142,0.019668935475104125,592,100737.24591833024,8486856.841569398
2023-06-15T05:02:02,4.769309465243213,18.060546875,8207.188689578701,220898.20417987954,0.019969055374608583,609,103420.90909090907,8880138.18181818
2023-06-15T05:02:07,4.75694384736378,18.0625,8196.918184739772,220528.73936503104,0.019151919411941023,623,106045.45454545454,9004020
2023-06-15T05:02:12,4.769769062696816,18.080078125,8202.44305073508,219848.9212283586,0.019180581996208885,645,109821.81818181816,9361375.454545455
2023-06-15T05:02:17,4.765678566257668,18.044921875,8177.194893409739,218753.05630915574,0.019385558583122128,665,113155.45454545454,9869772.727272727
