remote_addr,remote_usr,time_local,request_method,request_url,http_version,request_body,status,body_bytes_sent,http_referer,http_user_agent,http_x_forwarded_for,host,server_name,request_time
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/,HTTP/1.1,-,304,0,-,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.017
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/css/bootstrap.min.css,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.002
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/css/font-awesome/all.min.css,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.001
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/css/styles.css,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.002
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/js/react.production.min.js,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.003
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/js/react-dom.production.min.js,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.003
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/js/react-bootstrap.js,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.001
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/js/babel.min.js,HTTP/1.1,-,304,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.000
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/js/app.js,HTTP/1.1,-,200,5371,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.007
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/favicon.ico,HTTP/1.1,-,499,0,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.001
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/items,HTTP/1.1,-,200,77,http://localhost/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.006
10.0.0.2,-,07/Apr/2023:03:29:05 +0000,GET,/css/font-awesome/fa-regular-400.woff2,HTTP/1.1,-,304,0,http://localhost/css/font-awesome/all.min.css,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/111.0,-,localhost,_,0.001
