time,service_avg_cpu_usage_percentage,service_avg_memory_usage_percentage,service_avg_network_receive_bytes,service_avg_network_transmit_bytes,nginx_avg_respone_time,nginx_requests_per_second,nginx_received_http_traffic,nginx_sent_http_traffic
2023-06-16T08:00:02,3.7204142037808094,21.369140625,7276.6827224562985,31986.70567059757,0.009511257954215353,804,135169.99999999997,1778033.636363636
2023-06-16T08:00:07,3.7072383413946843,21.3515625,7245.899583433606,32128.938992851607,0.009767264684419545,767,129625.45454545454,1735279.0909090908
2023-06-16T08:00:12,3.699279570384427,21.296875,7218.510538832089,32407.28808851128,0.009873824839410248,748,126671.81818181816,1752214.5454545452
2023-06-16T08:00:17,3.6911328062770323,21.1953125,7185.77118079626,32780.52236675774,0.010509194831234124,731,123894.54545454546,1786093.6363636362
2023-06-16T08:00:23,3.6897473208731255,21.5546875,7172.522534715644,33316.981566196584,0.010437810945495488,727,123124.54545454546,1842076.3636363633
2023-06-16T08:00:28,3.68341187383134,21.529296875,7156.794637210103,33955.3179759662,0.010356017012984293,723,122401.81818181818,1889417.2727272725
2023-06-16T08:00:33,3.6852968499674605,21.765625,7145.594219974135,34412.3820938374,0.01040981963950322,735,125062.72727272726,1945102.727272727
2023-06-16T08:00:38,3.691106929100558,22.080078125,7155.246809682652,35210.69185597753,0.010659819639504712,736,125551.81818181818,1970845.4545454541
2023-06-16T08:00:43,3.6952150132679127,21.49609375,7155.795188389315,35801.937370537344,0.010702047952275596,758,129204.54545454546,2072160.9090909092
2023-06-16T08:00:48,3.6903808038288104,22.080078125,7166.352344189896,36343.25710447943,0.010738315421373509,755,128999.09090909088,2086089.0909090908
2023-06-16T08:00:53,3.691199692733635,21.505859375,7174.538252311282,36859.59343141445,0.010633591602331712,759,129792.72727272728,2161972.727272727
2023-06-16T08:00:58,3.7033695323447664,22.033203125,7186.004353445344,37548.76539010952,0.010762143215055182,775,132037.2727272727,2266754.5454545454
2023-06-16T08:01:03,3.732218781297069,22.080078125,7229.291012119069,38741.53192453296,0.01069843244611422,801,135950.90909090906,2419140
2023-06-16T08:01:08,3.708166661019384,20.220703125,7172.185984856278,39240.10958583735,0.010689843556231296,811,137427.27272727274,2488323.6363636353
2023-06-16T08:01:13,3.7505427782932257,19.591796875,7251.754665006194,40026.027248915394,0.010737298637162966,827,139802.72727272724,2594970
2023-06-16T08:01:18,3.7512069773334518,19.703125,7254.182986877367,40738.06442019459,0.010745156483097654,818,138424.54545454544,2601606.3636363638
2023-06-16T08:01:23,3.755083228582206,19.703125,7262.949854907386,41468.01521438451,0.010774329692394467,818,138686.36363636362,2633199.090909091
2023-06-16T08:01:28,3.7709153234229116,19.39453125,7269.414843135661,41952.69665663386,0.011112521782665757,792,133863.63636363635,2616638.1818181816
2023-06-16T08:01:33,3.77002188779035,19.439453125,7239.942714024883,42544.847995330245,0.011170573566327797,770,129787.27272727272,2621555.4545454546
2023-06-16T08:01:38,3.7665883394051263,19.724609375,7209.791439039606,43162.73683267213,0.011219799498988799,735,123632.72727272726,2552515.4545454546
2023-06-16T08:01:43,3.7505609411446845,19.5,7184.716541022954,43257.817518001415,0.011199144008301114,727,121189.99999999999,2592472.727272727
2023-06-16T08:01:48,3.7377144638296738,19.451171875,7155.117021492913,43502.046944156384,0.011267965587288134,717,119908.18181818181,2514073.6363636362
